tweet_id,source_user
1591561150713724928,None
1591536598440505344,None
1591524602559492096,None
1591518520575148032,None
1591509435712765954,🔥Deals. Period.🔥 #BlackFriday
1591494335882792961,🔥Deals. Period.🔥 #BlackFriday
1591492636028063745,Teresa | MomsWhoSave.com
1591464212768989195,None
1591449010178789377,None
1591293499387031552,None
1591192909629771776,Teresa | MomsWhoSave.com
1591192809259900941,None
1590762161575723008,Teresa | MomsWhoSave.com
1590504043251580928,Teresa | MomsWhoSave.com
1590432813849116672,None
1590401126482038785,🔥Deals. Period.🔥 #BlackFriday
1590398105706500096,🔥Deals. Period.🔥 #BlackFriday
1590379736320057344,🔥Deals. Period.🔥 #BlackFriday
1590355786726793218,None
1590352956259414017,None
1590334577838637056,None
1590209100981235712,None
1590011328822919170,🔥Deals. Period.🔥 #BlackFriday
1589966118579576835,None
1589368321794887680,🔥Deals. Period.🔥 #BlackFriday
1589323001643864067,None
1589026824419512320,🔥Deals. Period.🔥 #BlackFriday
1588981704848543745,None
1588963405939048459,🔥Deals. Period.🔥 #BlackFriday
1588960379396407298,🔥Deals. Period.🔥 #BlackFriday
1588957607158583297,🔥Deals. Period.🔥 #BlackFriday
1588948296441159682,🔥Deals. Period.🔥 #BlackFriday
1588945279897796608,🔥Deals. Period.🔥 #BlackFriday
1588918219359899649,None
1588915232642109443,None
1588912297266876416,None
1588903109635489792,None
1588900104487976962,None
1588626225257451521,🔥Deals. Period.🔥 #BlackFriday
1588581080499716096,None
